	GSM350771.CEL	GSM350771.CEL.gz	GSM350772.CEL	GSM350772.CEL.gz
10072_at	1.55160767433765	1.55160767433765	1.96833666820532	1.96833666820532
10073_at	4.23305055040837	4.23305055040837	4.43602468925989	4.43602468925989
10074_at	1.24249212049855	1.24249212049855	1.91797820997891	1.91797820997891
10075_at	6.08531611939964	6.08531611939964	5.01120384206905	5.01120384206905
10076_at	1.6724681399209	1.6724681399209	2.01371888188154	2.01371888188154
10077_at	3.61226381020035	3.61226381020035	3.10292494530221	3.10292494530221
10078_at	2.99575808630841	2.99575808630841	3.432176980309	3.432176980309
10079_at	2.23237548681003	2.23237548681003	2.42833189243569	2.42833189243569
10080_at	2.70879893379336	2.70879893379336	3.41067523893065	3.41067523893065
10081_at	3.56110583465893	3.56110583465893	5.39547794108872	5.39547794108872
10082_at	2.77160035221504	2.77160035221504	4.20247479163	4.20247479163
10083_g_at	3.19469376352218	3.19469376352218	4.74453852264247	4.74453852264247
10084_at	3.32832507920766	3.32832507920766	4.75676137962784	4.75676137962784
10085_at	7.07903949581156	7.07903949581156	7.97589707627882	7.97589707627882
10086_at	4.05440315297294	4.05440315297294	3.96412961285991	3.96412961285991
10087_at	4.78959063390959	4.78959063390959	4.38601671760306	4.38601671760306
10088_at	5.89128338434575	5.89128338434575	5.15966862014275	5.15966862014275
10089_at	5.71752871995743	5.71752871995743	6.1436539222449	6.1436539222449
10090_at	2.68357283595572	2.68357283595572	2.34439677082026	2.34439677082026
10091_at	5.30845162236683	5.30845162236683	4.03360186482396	4.03360186482396
10092_at	6.49852728868366	6.49852728868366	6.98312377712334	6.98312377712334
10093_at	5.45922832159225	5.45922832159225	5.5257844700301	5.5257844700301
10094_at	4.37721580132065	4.37721580132065	5.24435057825558	5.24435057825558
10095_at	2.97175181740487	2.97175181740487	2.09357174710119	2.09357174710119
10096_at	6.83253469489847	6.83253469489847	7.04292272101281	7.04292272101281
10097_at	11.8587792246773	11.8587792246773	11.8873954049724	11.8873954049724
10098_at	3.48478639023837	3.48478639023837	2.51661894471794	2.51661894471794
10099_at	3.79325458742009	3.79325458742009	3.481376485668	3.481376485668
10100_at	3.79555281870261	3.79555281870261	2.97119806671497	2.97119806671497
10101_at	7.35435585869296	7.35435585869296	8.95550976674586	8.95550976674586
10102_at	3.47392205808056	3.47392205808056	3.28565457394394	3.28565457394394
10103_at	2.4975181229963	2.4975181229963	2.40524624538758	2.40524624538758
10104_at	6.16647251329235	6.16647251329235	7.37010489431015	7.37010489431015
10105_at	2.21804842619208	2.21804842619208	3.55893328704661	3.55893328704661
10106_at	4.61055013064102	4.61055013064102	2.4510664154959	2.4510664154959
10107_at	4.56624981551456	4.56624981551456	4.98768184380913	4.98768184380913
10108_at	7.86082845225626	7.86082845225626	6.15956547530152	6.15956547530152
10109_at	2.12262615999946	2.12262615999946	2.24896526143599	2.24896526143599
10110_at	4.49210322979504	4.49210322979504	5.30703229701838	5.30703229701838
10111_at	5.5392158308781	5.5392158308781	6.25393108622605	6.25393108622605
10112_at	5.59975387331887	5.59975387331887	5.48183851530775	5.48183851530775
10113_at	4.02666090420943	4.02666090420943	2.66153085584168	2.66153085584168
10114_at	5.90361035357524	5.90361035357524	4.4980130021639	4.4980130021639
10115_at	3.40742084121805	3.40742084121805	3.07767867423144	3.07767867423144
10116_at	4.97071543716247	4.97071543716247	5.19036978263973	5.19036978263973
10117_at	3.44783944108026	3.44783944108026	3.21788314558128	3.21788314558128
10118_at	3.93405485543137	3.93405485543137	3.40670319114999	3.40670319114999
10119_at	2.95538018254283	2.95538018254283	2.4890307631078	2.4890307631078
10120_at	5.13584634260217	5.13584634260217	4.0321573169859	4.0321573169859
10121_at	8.81603452228676	8.81603452228676	9.68244548147768	9.68244548147768
10122_at	3.35714483730666	3.35714483730666	4.12887931915007	4.12887931915007
10123_at	7.29883484094604	7.29883484094604	6.6164758123482	6.6164758123482
10124_at	4.07691029877929	4.07691029877929	4.01853499667435	4.01853499667435
10125_at	5.58870128598584	5.58870128598584	4.71862182935836	4.71862182935836
10126_at	4.0152372654092	4.0152372654092	2.72795241130748	2.72795241130748
10127_at	9.24555188430759	9.24555188430759	9.95675433724558	9.95675433724558
10128_at	5.80646421993095	5.80646421993095	6.31932343050278	6.31932343050278
10129_at	6.68463136750694	6.68463136750694	8.08816803708956	8.08816803708956
10130_at	5.62514389015966	5.62514389015966	3.47516482704306	3.47516482704306
10131_at	6.14875873740838	6.14875873740838	4.90537168480857	4.90537168480857
10132_at	5.67723264232783	5.67723264232783	3.41197809929045	3.41197809929045
10133_at	2.98461033417842	2.98461033417842	2.76266330790444	2.76266330790444
10134_at	7.06657730310935	7.06657730310935	7.88442645488583	7.88442645488583
10135_at	3.17001994999555	3.17001994999555	2.37197453383991	2.37197453383991
10136_at	6.76288536414812	6.76288536414812	7.92312124585647	7.92312124585647
10137_at	3.08071042034877	3.08071042034877	4.1249092976206	4.1249092976206
10138_g_at	4.65035402561516	4.65035402561516	6.19813252295304	6.19813252295304
10139_i_at	8.60515264679416	8.60515264679416	9.02070458903039	9.02070458903039
10140_r_at	7.19383823461243	7.19383823461243	7.77627918783516	7.77627918783516
10141_at	8.1391216443975	8.1391216443975	8.98482172174618	8.98482172174618
10142_at	6.40346054931203	6.40346054931203	6.54856930187249	6.54856930187249
10143_at	8.06200039890632	8.06200039890632	8.50214152426525	8.50214152426525
10144_at	5.54437813111877	5.54437813111877	4.33089188130209	4.33089188130209
10145_at	4.57872279496765	4.57872279496765	5.6696478670222	5.6696478670222
10146_at	7.60172390730554	7.60172390730554	6.32793834440673	6.32793834440673
10147_at	11.7875024041002	11.7875024041002	10.3229475525726	10.3229475525726
10148_at	4.90376222755355	4.90376222755355	3.74695850158914	3.74695850158914
10149_at	3.55380576423013	3.55380576423013	4.70941192513241	4.70941192513241
10150_at	3.27346927606792	3.27346927606792	2.66761382019526	2.66761382019526
10151_at	2.69086076215454	2.69086076215454	3.1134601490011	3.1134601490011
10152_at	7.9889105244707	7.9889105244707	9.44602309254311	9.44602309254311
10153_at	3.12453354988957	3.12453354988957	3.88137448512987	3.88137448512987
10154_at	3.76065222189758	3.76065222189758	4.04149102960862	4.04149102960862
10155_at	6.73883920408402	6.73883920408402	4.3271794793255	4.3271794793255
10156_at	2.86459339570458	2.86459339570458	2.29289474220416	2.29289474220416
10157_at	6.39982830746798	6.39982830746798	6.18929732861204	6.18929732861204
10158_at	6.73822851730056	6.73822851730056	7.92935736926733	7.92935736926733
10159_at	9.82893890779838	9.82893890779838	10.8040751254995	10.8040751254995
10160_at	9.73205400823335	9.73205400823335	10.1949993347594	10.1949993347594
10161_g_at	12.2022160841663	12.2022160841663	12.2214223241884	12.2214223241884
10162_at	2.34833560049864	2.34833560049864	1.93785451032796	1.93785451032796
10163_at	2.99310919194082	2.99310919194082	2.08668454358183	2.08668454358183
10164_at	3.39653850352743	3.39653850352743	2.20070604353504	2.20070604353504
10165_at	1.26707201749651	1.26707201749651	2.04625738738123	2.04625738738123
10166_at	12.2023785131455	12.2023785131455	12.7260158366782	12.7260158366782
10167_at	8.1343573940545	8.1343573940545	8.8971041297566	8.8971041297566
10168_at	4.67454649542824	4.67454649542824	5.47914049488568	5.47914049488568
10169_at	7.71056875624748	7.71056875624748	8.64893812293833	8.64893812293833
10170_g_at	6.40042621856364	6.40042621856364	7.13714014638529	7.13714014638529
10171_at	4.68152744884069	4.68152744884069	5.34925102501128	5.34925102501128
10172_at	3.33312830409615	3.33312830409615	3.78101101826597	3.78101101826597
10173_at	3.45614767370063	3.45614767370063	2.8597892526027	2.8597892526027
10174_at	4.20772321195931	4.20772321195931	2.2547748890662	2.2547748890662
10175_at	2.03880439187246	2.03880439187246	1.75881201907732	1.75881201907732
10176_at	4.69058137881511	4.69058137881511	2.9563245970639	2.9563245970639
10177_at	4.21895810350551	4.21895810350551	3.78051560781179	3.78051560781179
10178_at	1.97222777238526	1.97222777238526	2.38027519532966	2.38027519532966
10179_at	2.24036308229939	2.24036308229939	2.51320497635834	2.51320497635834
10180_at	10.5278224153345	10.5278224153345	10.0972972399632	10.0972972399632
10181_at	1.83438504248714	1.83438504248714	2.47411897916951	2.47411897916951
10182_at	5.79962903765706	5.79962903765706	5.98887560801769	5.98887560801769
10183_at	10.1204053030721	10.1204053030721	9.63480985776063	9.63480985776063
10184_at	6.98472644836272	6.98472644836272	8.1241133862005	8.1241133862005
10185_s_at	8.82457616534384	8.82457616534384	9.95987366756264	9.95987366756264
10186_s_at	3.31703240237583	3.31703240237583	4.56504379423376	4.56504379423376
10187_at	3.30041554062499	3.30041554062499	3.34391775648745	3.34391775648745
10188_at	6.15167160081916	6.15167160081916	4.67836452327558	4.67836452327558
10189_at	4.77494206031199	4.77494206031199	6.37081144463914	6.37081144463914
10190_at	2.03511058287255	2.03511058287255	1.6017023223265	1.6017023223265
10191_at	3.0629828217626	3.0629828217626	1.82126345617726	1.82126345617726
10192_at	3.04351287907037	3.04351287907037	2.60303451514553	2.60303451514553
10193_at	7.51812880980642	7.51812880980642	9.05410462977217	9.05410462977217
